objectid,filename,title,description,creator,source,publisher,date,contributor,rights,language,type,format,original-identifier,identifier
mascots066,Microcosm-1947-Class-of-1950.jpg,Zombie,"Illustration of Zombie, the elephant (Class of 1950 mascot)","Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (1947),1947,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,"Microcosm (1947), page 88",Microcosm-1947-Class-of-1950
mascots067,APC001_00474,Students and Penguin during Step Singing,Students and Penguin (Class of 1951 mascot) posed on Colonnade steps during Step Singing,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",,c. 1951,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,APC001_00474,APC001_00474
mascots068,Microcosm-1951.jpg,Penguin mascot,Penguin (Class of 1951 mascot),"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (1949),1951,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,"Microcosm (1949), page 90",Microcosm-1951
mascots069,Microcosm-1949-1.jpg,Joshua,Illustration of Joshua the Fawn (Class of 1952 mascot),"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (1949),1949,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,"Microcosm (1949), page 86",Microcosm-1949-1
mascots070,APC001_04251.jpg,"Students Dorothea Hesse ('52), Alice Larkin ('51), Norma Belle Singer ('51), and Carolyn Sonniksen ('52) posed with Whiff 'n Poof at Step Singing","Students Dorothea Hesse ('52), Alice Larkin ('51), Norma Belle Singer ('51), and Carolyn Sonniksen ('52) posed with Whiff 'n Poof the Kangaroo (Class of 1953 mascot) at Step Singing","Lawlor, Dave","Simmons University Archives (Boston, Mass.)",,1950,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,APC001_04251,APC001_04251
mascots071,1954_mascot.jpg,Petunia,Illustration of Petunia the Elephant,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",,c. 1954,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,1954_mascot,1954_mascot
mascots072,APC001_04808.jpg,"Betts Parker ('54), Sylvia Gould ('54), Jean Armknecht ('54), and Petunia","Betts Parker ('54), Sylvia Gould ('54), Jean Armknecht ('54) posed with Petunia (Class of 1954 mascot) while reading their Class Prophecy","Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",The Simmons Review (Summer 1954),1954,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,APC001_04808,APC001_04808
mascots073,APC001_04811.jpg,"Barbara Meaney ('55), Esther Baum ('55), Meredythe Schober ('55), Ruth Copeland, and Ray Dodkin ('55) with Penelope","Barbara Meaney ('55), Esther Baum ('55), Meredythe Schober ('55), Ruth Copeland, and Ray Dodkin ('55) with Penelope at Bartol Hall during the Senior Luncheon","Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",The Simmons Review (Summer 1955),1955,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,APC001_04811,APC001_04811
mascots074,MEM613,Poodle Mascot,Poodle Mascot,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",,c. 1956,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,MEM613,MEM613
mascots075,Microcosm-1957-Class-of-1957.jpg,Heinz,Heinz the Penguin (Class of 1957 mascot),"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (1957),1957,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image/text,image/jpg,"Microcosm (1957), page 22",Microcosm-1957-Class-of-1957
mascots076,Microcosm-1957-Class-of-1958-1.jpg,Hefelump,Hefelump (Class of 1958 mascot),"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (1957),1957,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image/text,image/jpg,"Microcosm (1957), page 21",Microcosm-1957-Class-of-1958-1
mascots077,APC001_04815.jpg,Carol Berenson Silverston ('58) and two others with Hefelump,Carol Berenson Silverston ('58) and two others posed with Hefelump,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",The Simmons Review (Summer 1958),c. 1958,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,APC001_04815,APC001_04815
mascots078,APC001_04709.jpg,"Roberta Bamford ('59), Jane Opdycke ('59), Patricia Burke ('59), and Beverly Goodman ('59) with Deb","Roberta Bamford ('59), Jane Opdycke ('59), Patricia Burke ('59), and Beverly Goodman ('59) with Deb","Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",,1959,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,APC001_04709,APC001_04709
mascots079,APC001_06183.jpg,Roberta Bamford ('59) and Sheila Fish ('59) posed with Deb,Roberta Bamford ('59) and Sheila Fish ('59) posed with Deb during the Senior Luncheon,Fay Foto Service,"Simmons University Archives (Boston, Mass.)",,1959,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,APC001_06183,APC001_06183
mascots080,"Microcosm-1957-Class-of-1959,jpg",Deb,Deb (Class of 1959 mascot),"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (1959),1959,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,"Microcosm (1959), page 19",Microcosm-1957-Class-of-1959
mascots081,Woosie.jpg,Woosie,Woosie,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",,1918,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,Ask archivist for access to this item,Woosie
mascots082,40805874760_197f261e3e_b.jpg,Introduction to Wrigley's Spearmint Kid.,"First ad from Wrigley Gum introducing their spearmint gum mascot, the Spearmint Kid.","Wrigley Company (Chicago, Ill.)",http://melbirnkrant.com/collection/,The Mel Birnkrant Collection,1915,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image/text,image/jpg,40805874760_197f261e3e_b,40805874760_197f261e3e_b
mascots083,tumblr_nr2eeiKzEv1u4kqf7o1_400,"""Be Sure It's Wrigley's""","""Be Sure It's Wrigley's"" advertisement featuring the Spearmint Kid","Wrigley Company (Chicago, Ill.)",https://vintagepromotions.tumblr.com/post/123409837910/wrigleys-spearmint-advertisement-1929,Vintage Promotions,1929,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image/text,image/jpg,tumblr_nr2eeiKzEv1u4kqf7o1_400,tumblr_nr2eeiKzEv1u4kqf7o1_400
mascots084,27d35da283b3f6ad0aba0a5a47634e94--vintage-packaging-vintage-labels.jpg,"""Wrigley's Sealed Tight Kept Right""","""Wrigley's Sealed Tight Kept Right"" advertisement featuring the Spearmint Kid","Wrigley Company (Chicago, Ill.)",https://www.atticpaper.com/proddetail.php?prod=1919-wrigleys-gum-ad-child-holds-large-gum,Attic Paper,1919,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image/text,image/jpg,27d35da283b3f6ad0aba0a5a47634e94--vintage-packaging-vintage-labels,27d35da283b3f6ad0aba0a5a47634e94--vintage-packaging-vintage-labels
mascots085,download.jpg,"""Be Sure It's Wrigley's""","""Be Sure It's Wrigley's"" advertisement featuring the Spearmint Kid","Wrigley Company (Chicago, Ill.)",https://www.madeinchicagomuseum.com/single-post/wrigley,"Made In Chicago Museum (Chicago, Ill.)",1930,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image/text,image/jpg,download,download
mascots086,Walker-Scrapbook.jpg,Mickey Mouse Valentine,Mickey Mouse Valentine,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",,1934,"Walker, Alice Morris","Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image/text,image/jpg,MS069 page 60,Walker-Scrapbook
mascots087,0dcc51b99f9341294922154dd879890d.jpg,"""News Dance"" program","Program of events for ""News Dance""","Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",,1933,"Shields, Mary Barbara","Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image/text,image/jpg,MS200,0dcc51b99f9341294922154dd879890d
mascots088,1956_yearbook_poodle.jpg,Poodle,Poodle,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm,1956,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,"Microcosm (1956), page 2",1956_yearbook_poodle.jpg
mascots089,Microcosm1943-page45.jpg,Students pose with Panda Bear,Unidentified students pose with Panda Bear mascot in unidentified dormitory room,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (1943),c. 1943,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,"Microcosm (1943), page 45",Microcosm1943-page45
mascots090,Micro-1998-111.jpg,Simmons College tennis team with Coach and Stormy,"Simmons College tennis team with their Coach and mascot, Stormy the Shark","Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (1998),c. 1998,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,"Microcosm (1998), page 111",Micro-1998-111
mascots091,Microcosm-2018-57.jpg,Stormy signs 2018 senior shirt,Stormy signs 2018 senior shirt,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (2018),2018,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,"Microcosm (2018), page 57",Microcosm-2018-57
mascots092,MEM-Box61-No535.jpg,Simmons College pennant,Simmons College pennant with Stormy the Shark mascot,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",,2010,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,"MEM Box 61, No. 535",MEM-Box61-No535
mascots093,SimmonsNews-v70-n8-p8.jpg,"""Simmons teams-Sharks or Thunderbolts?""",Article discussing the choice between a shark and a thunderbolt for the new athletics mascot,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",The Simmons News,"November 12, 1992",,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,text,image/jpg,"The Simmons News v. 70, no. 8, page 8",SimmonsNews-v70-n8-p8
mascots094,SimmonsNews-v72-n1-p15.jpg,"""Athletics""",Article announcing the Shark as the new Simmons mascot,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",The Simmons News,"September 15, 1994",,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,text,image/jpg,"The Simmons News v. 72, no. 1, page 15",SimmonsNews-v72-n1-p15
